Community Number,Community Name,Total population,Sector
665,WADI AL SAFA 7,7740,6
671,AL BARSHA SOUTH FIRST,13267,6
672,AL BARSHA SOUTH SECOND,7057,6
673,AL BARSHA SOUTH THIRD,4566,6
674,AL HEBIAH FIRST,9672,6
675,AL HEBIAH SECOND,1032,6
676,AL HEBIAH THIRD,6250,6
677,AL HEBIAH SIXTH,1759,6
681,AL BARSHA SOUTH FOURTH,25297,6
682,AL HEBIAH FOURTH,18789,6
683,AL HEBIAH FIFTH,8919,6
684,AL BARSHA SOUTH FIFTH,6753,6
685,ME'AISEM FIRST,17413,6
686,ME'AISEM SECOND,11,6
711,AL AWEER ONE,3587,7
721,AL AWEER TWO,4870,7
724,ENKHALI,26,7
727,AL WOHOOSH,46,7
731,LEHBAB FIRST,2921,7
735,AL MERYAL,727,7
736,NAZWAH,504,7
811,WARSAN THIRD,13316,8
812,AL ROWAIYAH FIRST,2923,8
813,AL ROWAIYAH SECOND,25,8
814,AL ROWAIYAH THIRD,4036,8
821,MEREIYEEL,1119,8
824,UMM AL DAMAN,258,8
826,LE HEMAIRA,53,8
831,LEHBAB SECOND,1363,8
835,UMM AL MO'MENEEN,309,8
841,MARGHAM,930,8
845,AL MAHA,175,8
847,UMM ESELAY,187,8
851,REMAH,232,8
857,MARGAB,570,8
861,YARAAH,94,8
891,HATTA,13295,8
911,UMM NAHAD FIRST,8,9
912,UMM NAHAD SECOND,2,9
913,UMM NAHAD THIRD,2329,9
914,UMM NAHAD FOURTH,4,9
915,AL YUFRAH 1,403,9
916,AL YUFRAH 2,2,9
917,AL MARMOOM,79,9
918,AL YUFRAH 3,4,9
919,AL YUFRAH 4,3,9
921,AL YALAYIS 1,0,9
922,AL YALAYIS 2,217,9
923,AL YALAYIS 3,4,9
924,AL YALAYIS 4,8,9
925,AL YALAYIS 5,100,9
931,AL LESAILY,2633,9
941,GRAYTEESAH,55,9
945,AL FAGAA',395,9
951,SAIH AL SALAM,589,9
956,AL HATHMAH,35,9
961,AL SELAL,660,9
967,GHADEER BARASHY,7,9
971,SAIH AL DAHAL,16,9
975,AL O'SHOOSH,0,9
978,SAIH SHUA'ALAH,3,9
981,MUGATRAH,804,9
987,AL LAYAN 1,10,9
988,AL LAYAN 2,0,9
991,HEFAIR,0,9
