Community Number,Community Name,Total population,Sector
375,AL BARSHAA THIRD,14601,3
376,AL BAESHAA SECOND,15523,3
381,NAKHLAT JUMEIRA ,24448,3
382,AL SOFOUH SECOND,6126,3
383,AL THANYAH FIRST (V. RABIE SAHRA'A),24834,3
384,AL THANYAH SECOND (JEBEL ALI HORSE RACING),115,3
388,AL THANYAH THIRD (EMIRATE HILLS SECOND),21442,3
392,MARSA DUBAI (AL MINA AL SEYAHI) ,61047,3
393,AL THANYAH FIFTH (EMIRATE HILLS FIRST) ,40586,3
394,AL THANYAH FOURTH (EMIRATE HILLS THIRD) ,27728,3
412,AL KHEERAN,4982,4
413,RAS AL KHOR,2,4
415,AL KHAIRAN FIRST,587,4
416,NAD AL HAMAR,14216,4
421,AL WARQAA FIRST,24679,4
422,AL WARQAA  SECOND,10689,4
423,AL WARQAA THIRD,14728,4
424,AL WARQAA FOURTH ,13452,4
425,AL WARQAA FIFTH ,60,4
431,WADI ALSHABAK ,55,4
501,NAKHLAT JABAL ALI,5,5
502,AL WAJEHAH AL BHARIYAH,4,5
511,HESSYAN FIRST,3492,5
512,HESSYAN SECOND,45,5
513,SAIH SHUAIB 1,9,5
516,JABAL ALI INDUSTRIAL THIRD,2462,5
518,JABAL ALI INDUSTRIAL SECOND,23000,5
521,MADINAT AL MATAAR,2697,5
531,SAIH SHUAIB 2,14491,5
532,SAIH SHUAIB 3,11144,5
533,SAIH SHUAIB 4,11170,5
591,JABAL ALI FIRST,75287,5
592,JABAL ALI  SECOND,1570,5
593,JABAL ALI THIRD,1513,5
594,MENA JABAL ALI,24487,5
597,DUBAI INVESTMENT PARK2,60630,5
598,DUBAI INVESTMENT PARK1,69956,5
599,JABAL ALI INDUSTRIAL FIRST,128975,5
611,BU KADRA,16,6
612,RAS AL KHOR IND. FIRST,2550,6
613,RAS AL KHOR IND. SECOND,2514,6
614,RAS AL KHOR IND. THIRD,21834,6
615,NAD AL SHIBBA SECOND,2389,6
616,NAD AL SHIBBA THIRD,767,6
617,NAD AL SHIBBA FOURTH,3685,6
618,NAD AL SHIBBA FIRST,5948,6
621,WARSAN FIRST,106072,6
622,WARSAN SECOND,1568,6
624,WARSAN FOURTH,8994,6
626,NADD HESSA,38494,6
631,HADAEQ SHEIKH MOHAMMED BIN RASHID,1563,6
643,WADI AL SAFA 2,10519,6
645,WADI AL SAFA 3,9764,6
646,WADI AL SAFA 4,2,6
648,WADI AL SAFA 5,21241,6
664,WADI AL SAFA 6 (ARABIAN RANCHES),18213,6
665,WADI AL SAFA 7,8473,6
671,AL BARSHA SOUTH FIRST,13717,6
672,AL BARSHA SOUTH SECOND,7509,6
673,AL BARSHA SOUTH THIRD,6929,6
674,AL HEBIAH FIRST,10598,6
675,AL HEBIAH SECOND,1523,6
676,AL HEBIAH THIRD,6845,6
677,AL HEBIAH SIXTH,2322,6
681,AL BARSHA SOUTH FOURTH,25974,6
682,AL HEBIAH FOURTH,20611,6
683,AL HEBIAH FIFTH,9748,6
684,AL BARSHA SOUTH FIFTH,7384,6
685,ME'AISEM FIRST,18002,6
686,ME'AISEM SECOND,12,6
711,AL AWEER ONE,4107,7
721,AL AWEER TWO,5236,7
724,ENKHALI,26,7
727,AL WOHOOSH,46,7
731,LEHBAB FIRST,3197,7
735,AL MERYAL,754,7
736,NAZWAH,544,7
811,WARSAN THIRD,13579,8
812,AL ROWAIYAH FIRST,3127,8
813,AL ROWAIYAH SECOND,25,8
814,AL ROWAIYAH THIRD,4429,8
821,MEREIYEEL,1119,8
824,UMM AL DAMAN,283,8
826,LE HEMAIRA,53,8
831,LEHBAB SECOND,1511,8
835,UMM AL MO'MENEEN,309,8
841,MARGHAM,1005,8
845,AL MAHA,193,8
847,UMM ESELAY,204,8
851,REMAH,232,8
857,MARGAB,628,8
861,YARAAH,94,8
891,HATTA,14045,8
911,UMM NAHAD FIRST,8,9
912,UMM NAHAD SECOND,2,9
913,UMM NAHAD THIRD,1347,9
914,UMM NAHAD FOURTH,4,9
915,AL YUFRAH 1,403,9
916,AL YUFRAH 2,58,9
917,AL MARMOOM,94,9
918,AL YUFRAH 3,4,9
919,AL YUFRAH 4,3,9
921,AL YALAYIS 1,1114,9
922,AL YALAYIS 2,1364,9
923,AL YALAYIS 3,4,9
924,AL YALAYIS 4,8,9
925,AL YALAYIS 5,100,9
931,AL LESAILY,2856,9
941,GRAYTEESAH,55,9
945,AL FAGAA',417,9
951,SAIH AL SALAM,607,9
956,AL HATHMAH,35,9
961,AL SELAL,665,9
967,GHADEER BARASHY,7,9
971,SAIH AL DAHAL,16,9
975,AL O'SHOOSH,0,9
978,SAIH SHUA'ALAH,3,9
981,MUGATRAH,804,9
987,AL LAYAN 1,10,9
988,AL LAYAN 2,0,9
991,HEFAIR,0,9
