Community Number,Community Name,Total population,Sector
101,NAKHLAT DEIRA,2,1
111,AL CORNICHE,1735,1
112,AL RASS,7460,1
113,AL DHAGAYA,15899,1
114,AL BUTEEN,2841,1
115,AL SABKHA,3969,1
116,AYAL NASIR,19280,1
117,AL MURAR,38970,1
118,NAIF,50090,1
119,AL REGA,10480,1
121,CORNICHE DEIRA,14,1
122,AL BARAHA,24747,1
123,AL MUTEENA,46185,1
124,AL MURQABAT,69771,1
125,REGA AL BUTEEN,7120,1
126,ABU HAIL,17240,1
127,HOR AL ANZ,83187,1
128,AL KHBEESI,1992,1
129,PORT SAEED,13551,1
131,AL HAMRIYA PORT,481,1
132,AL WAHEDA,20785,1
133,HOR AL ANZ EAST,21218,1
134,AL MAMZER,14938,1
213,NAD SHAMMA,3124,2
214,AL GARHOUD,18535,2
215,UM RAMOOL,2935,2
216,AL RASHIDIYA,37167,2
221,DUBAI  AIRPORT,22,2
226,AL TWAR FIRST,11509,2
227,AL TWAR SECOND,4835,2
228,AL TWAR THIRD,10655,2
231,AL NAHDA FIRST,31449,2
232,AL QUSAIS FIRST,45657,2
233,AL QUSAIS SECOND,12473,2
234,AL QUSAIS THIRD,7162,2
241,AL NAHDA SECOND,61936,2
242,AL QUSAIS IND. FIRST,9369,2
243,AL QUSAIS IND. SECOND,8834,2
244,MUHAISANAH THIRD,6493,2
245,MUHAISANAH FOURTH,34947,2
246,AL QUSAIS IND. THIRD,2710,2
247,AL QUSAIS IND. FOURTH,2709,2
248,AL QUSAIS IND FIFTH,1613,2
251,MURDAF,64355,2
252,MUSHRAIF,67,2
261,MUHAISANAH FIRST,8091,2
262,AL MEZHAR FIRST,16552,2
263,AL MEZHAR SECOND,11317,2
264,MUHAISANAH SECOND ,196316,2
265,OUD AL MUTEEN FIRST,14672,2
266,OUD AL MUTEEN SECOND ,5506,2
267,MUHAISANAH FIFTH,2,2
268,OUD AL MUTEEN THIRD ,6679,2
271,WADI ALAMRADI,3368,2
281,AL KHAWANEEJ ONE,12893,2
282,AL KHAWANEEJ TWO,4523,2
283,AL AYAS,1757,2
284,AL TTAY,810,2
302,JUMEIRA BAY,39,3
303,WORLD ISLANDS,7,3
304,JUMEIRA ISLAND 2,3,3
311,AL SHANDAGA,2,3
312,AL SUQ AL KABEER,51012,3
313,AL HAMRIYA,36738,3
314,UM HURAIR FIRST,5856,3
315,UM HURAIR SECOND,5328,3
316,AL RAFFA,47140,3
317,AL MANKHOOL,40091,3
318,AL KARAMA,75066,3
319,OUD METHA,14901,3
321,MADINAT DUBAI AL MELAHEYAH (AL MINA),15172,3
322,AL HUDAIBA,14191,3
323,AL JAFLIYA,23963,3
324,AL KIFAF,2,3
325,ZAABEEL FIRST,3260,3
326,AL JADAF,5104,3
332,JUMEIRA FIRST,20356,3
333,AL BADA,56734,3
334,AL SATWA,38991,3
335,TRADE CENTER FIRST,16519,3
336,TRADE CENTER SECOND,12218,3
337,ZAABEEL SECOND,8102,3
342,JUMEIRA SECOND,10079,3
343,AL WASL,11555,3
345,BURJ KHALIFA,20477,3
346,AL KALIJ AL TEJARI,21179,3
347,AL MERKADH,1317,3
352,JUMEIRA THIRD,13417,3
353,AL SAFFA FIRST,8514,3
354,AL GOZE FIRST,20154,3
355,AL GOZE SECOND,5240,3
356,UM SUQAIM FIRST,11718,3
357,AL SAFFA SECOND,6679,3
358,AL GOZE THIRD,40553,3
359,AL GOZE FOURTH,22718,3
362,UM SUQAIM SECOND,12325,3
363,AL MANARA,8271,3
364,AL GOZE IND. FIRST ,26075,3
365,AL GOZE IND. SECOND ,159978,3
366,UM SUQAIM THIRD,7520,3
367,UM AL SHEIF,4367,3
368,AL GOZE IND. THIRD ,26656,3
369,AL GOZE IND. FOURTH ,38079,3
372,AL SAFOUH FIRST,4435,3
373,AL BARSHAA FIRST,39451,3
